title,type,release_year,rating,listed_in,favorite
Little Singham,TV Show,2020,,"Kids' TV, TV Comedies",False
Seven (Tamil),Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Thackeray (Hindi),Movie,2019,,"Dramas, International Movies",False
Krishna and His Leela,Movie,2020,,"International Movies, Romantic Movies",False
Bulbbul,Movie,2020,,"Horror Movies, International Movies",False
Kappela,Movie,2020,,"Dramas, Independent Movies, International Movies",False
Chaman Bahaar,Movie,2020,,"Comedies, Dramas, International Movies",False
Asura Guru,Movie,2020,,"Dramas, International Movies",False
Axone,Movie,2020,,"Comedies, Dramas, Independent Movies",False
Forensic,Movie,2020,,"International Movies, Thrillers",False
Project Papa,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Choked: Paisa Bolta Hai,Movie,2020,,"Dramas, International Movies",False
Chippa,Movie,2020,,"Comedies, Dramas, Independent Movies",False
Kenny Sebastian: The Most Interesting Person in the Room,Movie,2020,,Stand-Up Comedy,False
Betaal,TV Show,2020,,"International TV Shows, TV Action & Adventure, TV Horror",False
What Are the Odds?,Movie,2020,,"Comedies, Dramas, Independent Movies",False
Malang,Movie,2020,,"Action & Adventure, International Movies, Romantic Movies",False
Arctic Dogs,Movie,2019,,"Children & Family Movies, Comedies",False
One Day: Justice Delivered,Movie,2019,,"Dramas, International Movies",False
Mrs. Serial Killer,Movie,2020,,"International Movies, Thrillers",False
Psycho,Movie,2020,,"Horror Movies, International Movies, Thrillers",False
R.K.Nagar,Movie,2019,,"Action & Adventure, Comedies, Dramas",False
Love Aaj Kal,Movie,2020,,"Dramas, International Movies, Romantic Movies",False
The Lift Boy,Movie,2020,,"Dramas, Independent Movies, International Movies",False
Bheeshma,Movie,2020,,"Action & Adventure, Comedies, International Movies",False
Kolaiyuthir Kaalam,Movie,2019,,"International Movies, Thrillers",False
"Yours Sincerely, Kanan Gill",Movie,2020,,Stand-Up Comedy,False
Varane Avashyamund,Movie,2020,,"Comedies, Dramas, International Movies",False
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),TV Show,2019,,Kids' TV,False
Hasmukh,TV Show,2020,,"Crime TV Shows, International TV Shows, TV Comedies",False
Mischief,Movie,2019,,"Comedies, Dramas, Independent Movies",False
World Famous Lover,Movie,2020,,"Dramas, International Movies, Romantic Movies",False
SETHUM AAYIRAM PON,Movie,2020,,"Dramas, Independent Movies, International Movies",False
A truthful Mother,Movie,2020,,Children & Family Movies,False
Akbar Birbal,TV Show,2019,,"Kids' TV, TV Comedies, TV Dramas",False
Paharganj,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Kannum Kannum Kollaiyadithaal,Movie,2020,,"Comedies, Dramas, International Movies",False
Ladies Up,TV Show,2019,,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",False
Maska,Movie,2020,,"Comedies, Dramas, International Movies",False
She,TV Show,2020,,"Crime TV Shows, International TV Shows, TV Dramas",False
Bypass Road,Movie,2019,,"International Movies, Thrillers",False
Jai Mummy Di,Movie,2020,,"Comedies, International Movies, Romantic Movies",False
Guilty,Movie,2020,,"Dramas, International Movies",False
Mighty Little Bheem: Festival of Colors,TV Show,2020,,"Kids' TV, TV Comedies",False
The Last Bomb of the Second World War,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Bhangra Paa Le,Movie,2019,,"Comedies, Dramas, International Movies",False
