title,type,release_year,rating,listed_in,favorite
Movie_2016_142,Movie,2016,4.5,Thriller,False
Movie_2016_8,Movie,2016,7.3,Comedy,False
Movie_2016_65,Movie,2016,5.9,Musical,False
Movie_2016_95,Movie,2016,5.7,Action,False
Movie_2016_38,Movie,2016,4.9,Action,False
Movie_2017_286,Movie,2017,5.6,Biopic,False
Movie_2017_227,Movie,2017,6.9,Thriller,False
Movie_2017_51,Movie,2017,4.4,Romance,False
Movie_2017_89,Movie,2017,6.8,Drama,False
Movie_2017_150,Movie,2017,6.0,Action,False
Movie_2017_120,Movie,2017,6.5,Thriller,False
Movie_2017_77,Movie,2017,7.9,Thriller,False
Movie_2017_292,Movie,2017,7.3,Thriller,False
Movie_2017_140,Movie,2017,7.5,Musical,False
Movie_2017_129,Movie,2017,7.2,Action,False
Movie_2017_138,Movie,2017,5.9,Action,False
Movie_2017_143,Movie,2017,6.1,Comedy,False
Movie_2017_210,Movie,2017,7.3,Fantasy,False
Movie_2017_148,Movie,2017,5.2,Biopic,False
Movie_2017_166,Movie,2017,3.5,Drama,False
Movie_2018_278,Movie,2018,6.9,Musical,False
Movie_2018_256,Movie,2018,4.2,Musical,False
Movie_2018_148,Movie,2018,7.0,Musical,False
Movie_2018_123,Movie,2018,4.0,Comedy,False
Movie_2018_59,Movie,2018,5.1,Musical,False
Movie_2018_140,Movie,2018,6.5,Biopic,False
Movie_2018_197,Movie,2018,4.3,Romance,False
Movie_2018_36,Movie,2018,6.3,Thriller,False
Movie_2018_2,Movie,2018,6.0,Thriller,False
Movie_2018_248,Movie,2018,8.6,Fantasy,False
Movie_2018_97,Movie,2018,5.8,Romance,False
Movie_2018_163,Movie,2018,7.9,Musical,False
Movie_2018_78,Movie,2018,5.3,Musical,False
Movie_2018_52,Movie,2018,4.3,Musical,False
Movie_2018_80,Movie,2018,5.7,Drama,False
Movie_2019_42,Movie,2019,6.9,Fantasy,False
Movie_2019_250,Movie,2019,8.6,Action,False
Movie_2019_117,Movie,2019,7.3,Drama,False
Movie_2019_15,Movie,2019,5.9,Action,False
Movie_2019_126,Movie,2019,6.9,Biopic,False
Movie_2019_196,Movie,2019,7.0,Romance,False
Movie_2019_236,Movie,2019,7.2,Thriller,False
Movie_2019_81,Movie,2019,5.8,Drama,False
Movie_2019_129,Movie,2019,8.2,Musical,False
Movie_2019_55,Movie,2019,9.0,Romance,False
Movie_2019_152,Movie,2019,8.3,Action,False
Movie_2019_26,Movie,2019,5.4,Musical,False
Movie_2019_98,Movie,2019,7.1,Thriller,False
Movie_2019_159,Movie,2019,4.0,Musical,False
Movie_2019_152,Movie,2019,7.8,Fantasy,False
Movie_2020_188,Movie,2020,8.7,Thriller,False
Movie_2020_152,Movie,2020,4.3,Fantasy,False
Movie_2020_116,Movie,2020,5.7,Biopic,False
Movie_2020_136,Movie,2020,8.0,Drama,False
Movie_2020_191,Movie,2020,8.4,Drama,False
Movie_2020_288,Movie,2020,7.0,Fantasy,False
Movie_2020_238,Movie,2020,8.7,Thriller,False
Movie_2020_156,Movie,2020,4.2,Musical,False
Movie_2020_233,Movie,2020,7.5,Fantasy,False
Movie_2020_213,Movie,2020,5.0,Drama,False
Movie_2020_190,Movie,2020,4.0,Romance,False
Movie_2020_189,Movie,2020,4.2,Fantasy,False
Movie_2020_233,Movie,2020,5.3,Drama,False
Movie_2020_65,Movie,2020,8.0,Romance,False
Movie_2020_120,Movie,2020,8.9,Fantasy,False
Movie_2021_67,Movie,2021,3.6,Thriller,False
Movie_2021_8,Movie,2021,5.0,Fantasy,False
Movie_2021_65,Movie,2021,7.8,Biopic,False
Movie_2021_263,Movie,2021,3.7,Drama,False
Movie_2021_267,Movie,2021,8.2,Thriller,False
Movie_2021_219,Movie,2021,5.3,Drama,False
Movie_2021_76,Movie,2021,5.6,Drama,False
Movie_2021_272,Movie,2021,7.4,Thriller,False
Movie_2021_283,Movie,2021,8.1,Romance,False
Movie_2021_205,Movie,2021,7.2,Biopic,False
Movie_2021_192,Movie,2021,4.0,Comedy,False
Movie_2021_222,Movie,2021,6.7,Drama,False
Movie_2021_288,Movie,2021,7.2,Fantasy,False
Movie_2021_217,Movie,2021,6.7,Action,False
Movie_2021_109,Movie,2021,5.4,Comedy,False
Movie_2022_285,Movie,2022,8.1,Fantasy,False
Movie_2022_286,Movie,2022,7.4,Action,False
Movie_2022_159,Movie,2022,6.6,Fantasy,False
Movie_2022_206,Movie,2022,4.7,Drama,False
Movie_2022_215,Movie,2022,5.3,Musical,False
Movie_2022_291,Movie,2022,6.9,Drama,False
Movie_2022_42,Movie,2022,5.8,Thriller,False
Movie_2022_111,Movie,2022,7.2,Drama,False
Movie_2022_250,Movie,2022,3.8,Thriller,False
Movie_2022_105,Movie,2022,4.2,Thriller,False
Movie_2022_255,Movie,2022,4.8,Biopic,False
Movie_2022_287,Movie,2022,6.0,Fantasy,False
Movie_2022_40,Movie,2022,5.8,Fantasy,False
Movie_2022_59,Movie,2022,6.9,Biopic,False
Movie_2022_186,Movie,2022,5.7,Drama,False
Movie_2023_41,Movie,2023,7.8,Biopic,False
Movie_2023_40,Movie,2023,5.4,Drama,False
Movie_2023_76,Movie,2023,6.8,Romance,False
Movie_2023_39,Movie,2023,7.7,Comedy,False
Movie_2023_230,Movie,2023,6.1,Fantasy,False
Movie_2023_156,Movie,2023,5.2,Thriller,False
Movie_2023_232,Movie,2023,8.3,Action,False
Movie_2023_47,Movie,2023,8.0,Biopic,False
Movie_2023_97,Movie,2023,3.8,Fantasy,False
Movie_2023_53,Movie,2023,3.7,Fantasy,False
Movie_2023_225,Movie,2023,8.5,Musical,False
Movie_2023_199,Movie,2023,7.1,Biopic,False
Movie_2023_34,Movie,2023,7.5,Fantasy,False
Movie_2023_77,Movie,2023,5.2,Fantasy,False
Movie_2023_201,Movie,2023,7.0,Comedy,False
Movie_2024_169,Movie,2024,5.8,Comedy,False
Movie_2024_186,Movie,2024,5.4,Action,False
Movie_2024_249,Movie,2024,8.1,Romance,False
Movie_2024_52,Movie,2024,4.3,Action,False
Movie_2024_93,Movie,2024,7.2,Comedy,False
Movie_2024_122,Movie,2024,4.8,Musical,False
Movie_2024_241,Movie,2024,5.0,Romance,False
Movie_2024_196,Movie,2024,3.8,Biopic,False
Movie_2024_247,Movie,2024,5.1,Fantasy,False
Movie_2024_83,Movie,2024,4.0,Thriller,False
Movie_2024_114,Movie,2024,5.7,Musical,False
Movie_2024_192,Movie,2024,5.3,Romance,False
Movie_2024_51,Movie,2024,8.5,Fantasy,False
Movie_2024_242,Movie,2024,8.5,Comedy,False
Movie_2024_10,Movie,2024,6.8,Thriller,False
Movie_2025_217,Movie,2025,3.8,Drama,False
Movie_2025_215,Movie,2025,3.6,Musical,False
Movie_2025_264,Movie,2025,6.9,Romance,False
Movie_2025_124,Movie,2025,3.9,Biopic,False
Movie_2025_270,Movie,2025,8.9,Action,False
Movie_2025_130,Movie,2025,7.1,Action,False
Movie_2025_54,Movie,2025,8.0,Fantasy,False
Movie_2025_90,Movie,2025,3.8,Musical,False
Movie_2025_235,Movie,2025,8.4,Action,False
Movie_2025_162,Movie,2025,3.7,Thriller,False
Movie_2025_98,Movie,2025,7.9,Thriller,False
Movie_2025_224,Movie,2025,4.5,Biopic,False
Movie_2025_255,Movie,2025,7.5,Fantasy,False
Movie_2025_41,Movie,2025,4.1,Biopic,False
Movie_2025_168,Movie,2025,5.9,Thriller,False
3 Idiots,Movie,2009,8.4,Drama,True
Dangal,Movie,2016,8.3,Sports,True
Bahubali,Movie,2015,8.0,Action,False
RRR,Movie,2022,8.2,Action,False
Sacred Games,TV Show,2018,8.5,Crime,True
Mirzapur,TV Show,2018,8.4,Crime,True
The Family Man,TV Show,2019,8.7,Thriller,True
KGF,Movie,2018,8.2,Action,False
Drishyam,Movie,2015,8.1,Thriller,False
Shershaah,Movie,2021,8.4,War,False
